"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","145184","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki",,2008,"","719","","Vidal, CV",2008,6,1,"Brazil","Pará","Parauapebas","Floresta Nacional de Carajás",-6.170678,-51.570911,"Arbusto. Flores esverdeadas.; coletado no interior de floresta ombrófila densa","Angostura quinquefolia Kallunki","",,"GBIF"
"","USP","SPF","132214","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","Pirani, JR",1998,"","257","","Muniz, FH",1996,4,18,"Brazil","Maranhão","Buriticupu","Reserva Florestal da CVRD",,,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","MO","MO","3327499","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","J.A. Kallunki",1997,"","SCHATZ 946","","SCHATZ",1983,3,20,"Brazil","Maranhão",,"Mpio de Santa Luzia, 27 km S of Entroncamento, the intersection of Hwy. 006 and Hwy. 222, along Hwy. 006. Tall evergreen forest on terra firme dominated in all stream by Rutaceae.",-4.38333,-46.23333,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","USP","SPF","125948","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","Kallunki, JA",1997,"","946","","Schatz, GE",1983,3,20,"Brazil","Maranhão","Santa Luzia",,-4.383333,-46.233333,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","NY","NY","929122","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","J. A. Kallunki",1997,"","946","","G. E. Schatz",1983,3,20,"Brazil","Maranhão",,"27km S of Entroncamento, the intersection of Hwy. 222, along Hwy. 006.",-4.38,-46.23,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","NY","NY","01271570","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","J. A. Kallunki",1997,"","2417","","N. A. Rosa",1978,6,18,"Brazil","Pará",,"Fazenda Márcia, próximo do igarapé Garrafão",-4.166667,-48.166667,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","MPEG","HERBMG","MG054526","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","Kallunki, J.",,"",,"","Silva, M.G. da",1977,3,26,"Brazil","Pará",,"Marabá",,,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","BR",,"BR0000008699176","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki",,,"","2883","","Silva M.G. & Bahia R.",1977,3,26,"Brazil",,,,,,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","USP","SPF","180180","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","Kallunki, JA",1998,"","2960","","Silva, MG",1977,3,31,"Brazil","Pará","Marabá","Serra dos Carajás, Arredores da serraria. Mata, terra firme, solo argiloso.",,,"Árvore de 6 m, flor branca.","Angostura quinquefolia Kallunki","",,"GBIF"
"","NY","NY","245876","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki",,,"","2883","","M. G. da Silva",1977,3,26,"Brazil","Pará",,"Marabá, km  3 da estrada para serra dos Carajás",-6.065975,-49.943059,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","NY","NY","01271571","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","J. A. Kallunki",1997,"","2960","","M. G. da Silva",1977,3,31,"Brazil","Pará",,"Serra dos Carajás, arredores da serraria.",-6.028582,-50.611264,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","US","Botany","2778296","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki",,,"","1423","","B. G. Ribeiro",1976,6,28,"Brazil","Pará",,"Junto a lagoa da Serra dos Carajás",,,,"Angostura quinquefolia Kallunki","",,"GBIF"
"","USP","SPF","125946","Angostura quinquefolia","","Rutaceae","Angostura","quinquefolia","","Kallunki","Kallunki, JA",1997,"","2417","","Rosa, NA",,,,"Brazil","Pará","São Domingos do Capim","Fazenda Márcia.",-4.166667,-48.166667,,"Angostura quinquefolia Kallunki","",,"GBIF"
